class,XX1_1,YY1_1,XX2_1,YY2_1,SIZE_1,DIAG_1,XX1_2,YY1_2,XX2_2,YY2_2,SIZE_2,DIAG_2,XX3_1,YY1_3,XX2_3,YY2_3,SIZE_3,DIAG_3,XX1_4,YY1_4,XX2_4,YY2_4,SIZE_4,DIAG_4,XX1_5,YY1_5,XX2_5,YY2_5,SIZE_5,DIAG_5
7,0,0,0,24,24.00,56.36,25,0,26,26,26.02,56.36,0,24,26,26,26.08,56.36,0,24,1,32,8.06,56.36,26,26,24,50,24.08,56.36
4,0,0,0,24,24.00,63.25,0,24,2,49,25.08,63.25,0,24,40,24,40.00,63.25,2,49,38,48,36.01,63.25,0,0,35,2,35.06,63.25
3,0,0,1,24,24.02,31.89,1,24,10,18,10.82,31.89,10,18,21,12,12.53,31.89,21,12,10,6,12.53,31.89,10,6,0,0,11.66,31.89
2,14,0,5,5,10.30,31.30,5,5,0,10,7.07,31.30,0,10,0,19,9.00,31.30,0,19,5,24,7.07,31.30,5,24,14,28,9.85,31.30
4,0,0,0,23,23.00,53.81,0,23,0,38,15.00,53.81,0,23,36,25,36.06,53.81,0,38,20,40,20.10,53.81,0,0,18,0,18.00,53.81
9,0,0,0,39,39.00,56.94,0,39,1,49,10.05,56.94,1,49,29,36,30.87,56.94,29,36,29,22,14.00,56.94,29,22,0,8,32.20,56.94
4,0,0,0,17,17.00,43.42,0,17,0,38,21.00,43.42,0,17,8,16,8.06,43.42,0,38,8,37,8.06,43.42,0,0,21,1,21.02,43.42
3,0,0,1,29,29.02,34.13,1,29,12,21,13.60,34.13,12,21,18,14,9.22,34.13,18,14,12,7,9.22,34.13,12,7,0,0,13.89,34.13
7,0,0,0,18,18.00,38.08,15,0,15,8,8.00,38.08,0,18,15,8,18.03,38.08,0,18,1,35,17.03,38.08,15,8,15,22,14.00,38.08
7,0,0,0,10,10.00,30.23,17,0,17,9,9.00,30.23,0,10,17,9,17.03,30.23,0,10,1,25,15.03,30.23,17,9,17,16,7.00,30.23
7,0,0,0,22,22.00,43.08,14,0,16,14,14.14,43.08,0,22,16,14,17.89,43.08,0,22,0,40,18.00,43.08,16,14,15,28,14.04,43.08
6,32,0,0,13,34.54,52.50,0,13,0,26,13.00,52.50,0,26,32,40,34.93,52.50,32,0,32,11,11.00,52.50,34,11,27,11,7.00,52.50
7,0,0,0,11,11.00,29.07,13,0,13,12,12.00,29.07,0,11,13,12,13.04,29.07,0,11,1,26,15.03,29.07,13,12,11,18,6.32,29.07
3,0,0,0,22,22.00,24.60,0,22,10,18,10.77,24.60,10,18,11,11,7.07,24.60,11,11,10,6,5.10,24.60,10,6,0,0,11.66,24.60
7,0,0,0,22,22.00,49.34,13,0,15,22,22.09,49.34,0,22,15,22,15.00,49.34,0,22,0,47,25.00,49.34,15,22,15,28,6.00,49.34
4,0,0,0,14,14.00,32.02,0,14,1,23,9.06,32.02,0,14,7,15,7.07,32.02,1,23,17,23,16.00,32.02,0,0,20,-2,20.10,32.02
7,0,0,0,22,22.00,36.62,19,0,21,19,19.10,36.62,0,22,21,19,21.21,36.62,0,22,2,30,8.25,36.62,21,19,20,28,9.06,36.62
6,21,0,0,17,27.02,55.46,0,17,0,34,17.00,55.46,0,34,21,50,26.40,55.46,21,0,22,10,10.05,55.46,24,10,19,10,5.00,55.46
3,0,0,2,20,20.10,26.25,2,20,14,15,13.00,26.25,14,15,17,10,5.83,26.25,17,10,14,5,5.83,26.25,14,5,0,0,14.87,26.25
7,0,0,0,17,17.00,38.42,24,0,24,14,14.00,38.42,0,17,24,14,24.19,38.42,0,17,2,23,6.32,38.42,24,14,24,30,16.00,38.42
4,0,0,0,15,15.00,27.80,0,15,0,22,7.00,27.80,0,15,15,14,15.03,27.80,0,22,11,21,11.05,27.80,0,0,17,0,17.00,27.80
3,0,0,0,36,36.00,50.21,0,36,28,27,29.41,50.21,28,27,35,18,11.40,50.21,35,18,28,9,11.40,50.21,28,9,0,0,29.41,50.21
4,0,0,0,7,7.00,28.28,0,7,2,19,12.17,28.28,0,7,16,7,16.00,28.28,2,19,20,20,18.03,28.28,0,0,13,0,13.00,28.28
9,0,0,0,20,20.00,39.56,0,20,2,38,18.11,39.56,2,38,11,32,10.82,39.56,11,32,11,23,9.00,39.56,11,23,0,14,14.21,39.56
3,0,0,0,24,24.00,27.78,0,24,12,18,13.42,27.78,12,18,14,12,6.32,27.78,14,12,12,6,6.32,27.78,12,6,0,0,13.42,27.78
1,0,0,0,9,9.00,28.64,12,0,12,10,10.00,28.64,0,9,12,10,12.04,28.64,0,9,10,26,19.72,28.64,12,10,10,26,16.12,28.64
7,0,0,0,12,12.00,35.17,9,0,9,15,15.00,35.17,0,12,9,15,9.49,35.17,0,12,0,27,15.00,35.17,9,15,7,34,19.10,35.17
1,0,0,0,13,13.00,21.95,9,0,11,18,18.11,21.95,0,13,11,18,12.08,21.95,0,13,8,19,10.00,21.95,11,18,8,19,3.16,21.95
1,0,0,0,7,7.00,27.80,15,0,17,9,9.22,27.80,0,7,17,9,17.12,27.80,0,7,6,22,16.16,27.80,17,9,6,22,17.03,27.80
3,0,0,2,35,35.06,44.20,2,35,18,27,17.89,44.20,18,27,27,18,12.73,44.20,27,18,18,9,12.73,44.20,18,9,0,0,20.12,44.20
1,0,0,0,21,21.00,48.08,14,0,14,22,22.00,48.08,0,21,14,22,14.04,48.08,0,21,5,46,25.50,48.08,14,22,5,46,25.63,48.08
7,0,0,0,8,8.00,38.42,24,0,24,10,10.00,38.42,0,8,24,10,24.08,38.42,0,8,1,30,22.02,38.42,24,10,23,30,20.02,38.42
1,0,0,0,14,14.00,35.34,14,0,15,14,14.04,35.34,0,14,15,14,15.00,35.34,0,14,9,32,20.12,35.34,15,14,9,32,18.97,35.34
7,0,0,0,23,23.00,40.22,21,0,22,15,15.03,40.22,0,23,22,15,23.41,40.22,0,23,2,33,10.20,40.22,22,15,23,27,12.04,40.22
4,0,0,0,16,16.00,25.94,0,16,2,23,7.28,25.94,0,16,12,14,12.17,25.94,2,23,12,23,10.00,25.94,0,0,8,0,8.00,25.94
4,0,0,0,14,14.00,29.73,0,14,1,21,7.07,29.73,0,14,20,13,20.02,29.73,1,21,18,22,17.03,29.73,0,0,17,1,17.03,29.73
9,0,0,0,20,20.00,32.57,0,20,1,31,11.05,32.57,1,31,10,29,9.22,32.57,10,29,10,24,5.00,32.57,10,24,0,19,11.18,32.57
7,0,0,0,14,14.00,41.59,17,0,17,13,13.00,41.59,0,14,17,13,17.03,41.59,0,14,0,26,12.00,41.59,17,13,19,37,24.08,41.59
4,0,0,0,13,13.00,30.00,0,13,0,21,8.00,30.00,0,13,8,13,8.00,30.00,0,21,18,22,18.03,30.00,0,0,14,-2,14.14,30.00
7,0,0,0,10,10.00,44.10,22,0,24,14,14.14,44.10,0,10,24,14,24.33,44.10,0,10,2,30,20.10,44.10,24,14,23,37,23.02,44.10
4,0,0,0,15,15.00,35.47,0,15,1,27,12.04,35.47,0,15,21,13,21.10,35.47,1,27,16,27,15.00,35.47,0,0,23,1,23.02,35.47
3,0,0,1,36,36.01,40.25,1,36,16,27,17.49,40.25,16,27,18,18,9.22,40.25,18,18,16,9,9.22,40.25,16,9,0,0,18.36,40.25
4,0,0,0,21,21.00,39.45,0,21,2,33,12.17,39.45,0,21,16,23,16.12,39.45,2,33,20,32,18.03,39.45,0,0,10,-1,10.05,39.45
7,0,0,0,23,23.00,48.37,24,0,24,21,21.00,48.37,0,23,24,21,24.08,48.37,0,23,2,42,19.10,48.37,24,21,22,40,19.10,48.37
3,0,0,0,38,38.00,46.62,0,38,17,30,18.79,46.62,17,30,27,19,14.87,46.62,27,19,17,10,13.45,46.62,17,10,0,0,19.72,46.62
7,0,0,0,8,8.00,35.78,14,0,16,10,10.20,35.78,0,8,16,10,16.12,35.78,0,8,0,16,8.00,35.78,16,10,16,32,22.00,35.78
6,38,0,0,14,40.50,59.40,0,14,0,28,14.00,59.40,0,28,38,42,40.50,59.40,38,0,40,8,8.25,59.40,42,8,35,8,7.00,59.40
4,0,0,0,16,16.00,48.92,0,16,0,35,19.00,48.92,0,16,29,16,29.00,48.92,0,35,32,36,32.02,48.92,0,0,15,-1,15.03,48.92
1,0,0,0,8,8.00,29.21,21,0,23,7,7.28,29.21,0,8,23,7,23.02,29.21,0,8,1,18,10.05,29.21,23,7,1,18,24.60,29.21
4,0,0,0,22,22.00,42.20,0,22,0,34,12.00,42.20,0,22,11,22,11.00,42.20,0,34,6,34,6.00,42.20,0,0,25,2,25.08,42.20
7,0,0,0,10,10.00,33.42,20,0,21,7,7.07,33.42,0,10,21,7,21.21,33.42,0,10,1,25,15.03,33.42,21,7,21,26,19.00,33.42
7,0,0,0,12,12.00,36.06,11,0,12,10,10.05,36.06,0,12,12,10,12.17,36.06,0,12,1,34,22.02,36.06,12,10,12,16,6.00,36.06
4,0,0,0,20,20.00,36.24,0,20,1,28,8.06,36.24,0,20,23,18,23.09,36.24,1,28,22,28,21.00,36.24,0,0,6,0,6.00,36.24
6,22,0,0,10,24.17,37.20,0,10,0,20,10.00,37.20,0,20,22,30,24.17,37.20,22,0,21,8,8.06,37.20,22,8,18,8,4.00,37.20
9,0,0,0,34,34.00,52.80,0,34,0,42,8.00,52.80,0,42,32,32,33.53,52.80,32,32,32,20,12.00,52.80,32,20,0,8,34.18,52.80
7,0,0,0,23,23.00,42.95,15,0,16,11,11.05,42.95,0,23,16,11,20.00,42.95,0,23,1,39,16.03,42.95,16,11,18,32,21.10,42.95
7,0,0,0,25,25.00,46.65,22,0,24,6,6.32,46.65,0,25,24,6,30.61,46.65,0,25,0,40,15.00,46.65,24,6,23,14,8.06,46.65
2,26,0,17,6,10.82,44.41,17,6,0,12,18.03,44.41,0,12,0,24,12.00,44.41,0,24,17,30,18.03,44.41,17,30,26,36,10.82,44.41
4,0,0,0,25,25.00,64.35,0,25,2,46,21.10,64.35,0,25,21,25,21.00,64.35,2,46,14,45,12.04,64.35,0,0,45,1,45.01,64.35
7,0,0,0,21,21.00,43.86,14,0,16,15,15.13,43.86,0,21,16,15,17.09,43.86,0,21,1,40,19.03,43.86,16,15,18,22,7.28,43.86
4,0,0,0,13,13.00,40.46,0,13,0,31,18.00,40.46,0,13,7,15,7.28,40.46,0,31,20,31,20.00,40.46,0,0,26,1,26.02,40.46
1,0,0,0,10,10.00,36.07,24,0,26,7,7.28,36.07,0,10,26,7,26.17,36.07,0,10,15,25,21.21,36.07,26,7,15,25,21.10,36.07
9,0,0,0,31,31.00,56.82,0,31,0,50,19.00,56.82,0,50,27,38,29.55,56.82,27,38,27,24,14.00,56.82,27,24,0,10,30.41,56.82
4,0,0,0,13,13.00,47.80,0,13,0,37,24.00,47.80,0,13,29,13,29.00,47.80,0,37,6,38,6.08,47.80,0,0,16,1,16.03,47.80
4,0,0,0,15,15.00,43.93,0,15,2,33,18.11,43.93,0,15,15,13,15.13,43.93,2,33,17,31,15.13,43.93,0,0,29,0,29.00,43.93
7,0,0,0,12,12.00,22.83,10,0,11,6,6.08,22.83,0,12,11,6,12.53,22.83,0,12,1,20,8.06,22.83,11,6,10,14,8.06,22.83
2,19,0,8,6,12.53,42.49,8,6,0,12,10.00,42.49,0,12,0,25,13.00,42.49,0,25,8,31,10.00,42.49,8,31,19,38,13.04,42.49
4,0,0,0,13,13.00,26.91,0,13,1,19,6.08,26.91,0,13,18,13,18.00,26.91,1,19,15,18,14.04,26.91,0,0,8,-1,8.06,26.91
7,0,0,0,7,7.00,28.79,7,0,8,6,6.08,28.79,0,7,8,6,8.06,28.79,0,7,1,27,20.02,28.79,8,6,10,14,8.25,28.79
1,0,0,0,6,6.00,24.60,10,0,11,7,7.07,24.60,0,6,11,7,11.05,24.60,0,6,2,22,16.12,24.60,11,7,2,22,17.49,24.60
7,0,0,0,8,8.00,36.80,23,0,25,6,6.32,36.80,0,8,25,6,25.08,36.80,0,8,1,27,19.03,36.80,25,6,23,20,14.14,36.80
2,28,0,18,7,12.21,48.83,18,7,0,14,19.31,48.83,0,14,0,27,13.00,48.83,0,27,18,34,19.31,48.83,18,34,28,40,11.66,48.83
3,0,0,0,21,21.00,23.26,0,21,9,15,10.82,23.26,9,15,10,10,5.10,23.26,10,10,9,5,5.10,23.26,9,5,0,0,10.30,23.26
6,20,0,0,8,21.54,32.56,0,8,0,16,8.00,32.56,0,16,20,24,21.54,32.56,20,0,20,9,9.00,32.56,22,9,17,9,5.00,32.56
7,0,0,0,23,23.00,44.41,22,0,24,7,7.28,44.41,0,23,24,7,28.84,44.41,0,23,2,36,13.15,44.41,24,7,26,16,9.22,44.41
9,0,0,0,22,22.00,41.40,0,22,1,33,11.05,41.40,1,33,25,26,25.00,41.40,25,26,25,16,10.00,41.40,25,16,0,6,26.93,41.40
7,0,0,0,21,21.00,36.62,20,0,21,10,10.05,36.62,0,21,21,10,23.71,36.62,0,21,1,30,9.06,36.62,21,10,21,19,9.00,36.62
7,0,0,0,18,18.00,46.14,23,0,23,20,20.00,46.14,0,18,23,20,23.09,46.14,0,18,1,40,22.02,46.14,23,20,23,39,19.00,46.14
7,0,0,0,11,11.00,36.77,14,0,14,15,15.00,36.77,0,11,14,15,14.56,36.77,0,11,2,34,23.09,36.77,14,15,12,33,18.11,36.77
6,14,0,0,10,17.20,33.54,0,10,0,20,10.00,33.54,0,20,14,30,17.20,33.54,14,0,13,11,11.05,33.54,15,11,11,11,4.00,33.54
9,0,0,0,32,32.00,40.50,0,32,0,38,6.00,40.50,0,38,14,28,17.20,40.50,14,28,14,17,11.00,40.50,14,17,0,6,17.80,40.50
7,0,0,0,14,14.00,43.27,23,0,24,7,7.07,43.27,0,14,24,7,25.00,43.27,0,14,1,36,22.02,43.27,24,7,24,29,22.00,43.27
2,17,0,5,5,13.00,32.76,5,5,0,10,7.07,32.76,0,10,0,19,9.00,32.76,0,19,5,24,7.07,32.76,5,24,17,28,12.65,32.76
9,0,0,0,22,22.00,39.29,0,22,2,38,16.12,39.29,2,38,10,33,9.43,39.29,10,33,10,24,9.00,39.29,10,24,0,15,13.45,39.29
7,0,0,0,11,11.00,40.50,22,0,22,11,11.00,40.50,0,11,22,11,22.00,40.50,0,11,0,34,23.00,40.50,22,11,20,21,10.20,40.50
7,0,0,0,6,6.00,25.81,12,0,14,10,10.20,25.81,0,6,14,10,14.56,25.81,0,6,1,21,15.03,25.81,14,10,15,19,9.06,25.81
4,0,0,0,12,12.00,43.19,0,12,1,31,19.03,43.19,0,12,29,12,29.00,43.19,1,31,26,32,25.02,43.19,0,0,14,0,14.00,43.19
4,0,0,0,13,13.00,37.80,0,13,2,30,17.12,37.80,0,13,23,11,23.09,37.80,2,30,21,29,19.03,37.80,0,0,12,0,12.00,37.80
6,7,0,0,5,8.60,17.46,0,5,0,10,5.00,17.46,0,10,7,16,9.22,17.46,7,0,7,10,10.00,17.46,7,10,2,10,5.00,17.46
9,0,0,0,34,34.00,46.82,0,34,0,44,10.00,46.82,0,44,16,34,18.87,46.82,16,34,16,23,11.00,46.82,16,23,0,12,19.42,46.82
3,0,0,0,30,30.00,33.54,0,30,14,24,15.23,33.54,14,24,15,15,9.06,33.54,15,15,14,8,7.07,33.54,14,8,0,0,16.12,33.54
4,0,0,0,25,25.00,51.04,0,25,2,40,15.13,51.04,0,25,8,26,8.06,51.04,2,40,26,42,24.08,51.04,0,0,29,0,29.00,51.04
4,0,0,0,22,22.00,45.45,0,22,2,35,13.15,45.45,0,22,22,23,22.02,45.45,2,35,29,34,27.02,45.45,0,0,25,2,25.08,45.45
6,9,0,0,7,11.40,22.36,0,7,0,14,7.00,22.36,0,14,9,20,10.82,22.36,9,0,7,6,6.32,22.36,10,6,4,6,6.00,22.36
7,0,0,0,7,7.00,26.25,6,0,8,8,8.25,26.25,0,7,8,8,8.06,26.25,0,7,0,20,13.00,26.25,8,8,8,25,17.00,26.25
4,0,0,0,11,11.00,46.75,0,11,2,33,22.09,46.75,0,11,10,10,10.05,46.75,2,33,27,35,25.08,46.75,0,0,31,1,31.02,46.75
4,0,0,0,8,8.00,31.40,0,8,0,24,16.00,31.40,0,8,19,10,19.10,31.40,0,24,19,25,19.03,31.40,0,0,11,0,11.00,31.40
3,0,0,2,33,33.06,36.67,2,33,14,24,15.00,36.67,14,24,16,16,8.25,36.67,16,16,14,8,8.25,36.67,14,8,0,0,16.12,36.67
4,0,0,0,11,11.00,27.59,0,11,0,20,9.00,27.59,0,11,14,12,14.04,27.59,0,20,19,20,19.00,27.59,0,0,9,1,9.06,27.59
2,16,0,8,5,9.43,35.78,8,5,0,10,9.43,35.78,0,10,0,21,11.00,35.78,0,21,8,26,9.43,35.78,8,26,16,32,10.00,35.78
4,0,0,0,25,25.00,56.44,0,25,1,49,24.02,56.44,0,25,10,24,10.05,56.44,1,49,28,49,27.00,56.44,0,0,12,0,12.00,56.44
9,0,0,0,37,37.00,52.81,0,37,0,50,13.00,52.81,0,50,17,46,17.46,52.81,17,46,17,40,6.00,52.81,17,40,0,34,18.03,52.81
2,20,0,10,6,11.66,42.94,10,6,0,12,11.66,42.94,0,12,0,25,13.00,42.94,0,25,10,31,11.66,42.94,10,31,20,38,12.21,42.94
4,0,0,0,14,14.00,42.20,0,14,2,34,20.10,42.20,0,14,25,16,25.08,42.20,2,34,14,32,12.17,42.20,0,0,20,1,20.02,42.20
4,0,0,0,23,23.00,65.12,0,23,0,46,23.00,65.12,0,23,21,23,21.00,65.12,0,46,24,48,24.08,65.12,0,0,44,0,44.00,65.12
7,0,0,0,22,22.00,48.76,12,0,13,24,24.02,48.76,0,22,13,24,13.15,48.76,0,22,2,46,24.08,48.76,13,24,12,47,23.02,48.76
9,0,0,0,30,30.00,53.76,0,30,0,51,21.00,53.76,0,51,17,39,20.81,53.76,17,39,17,25,14.00,53.76,17,25,0,11,22.02,53.76
9,0,0,0,29,29.00,55.36,0,29,0,52,23.00,55.36,0,52,19,40,22.47,55.36,19,40,19,25,15.00,55.36,19,25,0,10,24.21,55.36
9,0,0,0,24,24.00,37.70,0,24,1,35,11.05,37.70,1,35,14,26,15.81,37.70,14,26,14,16,10.00,37.70,14,16,0,6,17.20,37.70
3,0,0,0,27,27.00,30.41,0,27,13,21,14.32,30.41,13,21,14,14,7.07,30.41,14,14,13,7,7.07,30.41,13,7,0,0,14.76,30.41
3,0,0,2,20,20.10,22.36,2,20,9,15,8.60,22.36,9,15,10,10,5.10,22.36,10,10,9,5,5.10,22.36,9,5,0,0,10.30,22.36
4,0,0,0,11,11.00,38.01,0,11,2,30,19.10,38.01,0,11,20,11,20.00,38.01,2,30,17,29,15.03,38.01,0,0,22,-1,22.02,38.01
3,0,0,0,23,23.00,25.94,0,23,10,18,11.18,25.94,10,18,12,12,6.32,25.94,12,12,10,6,6.32,25.94,10,6,0,0,11.66,25.94
9,0,0,0,37,37.00,69.12,0,37,0,59,22.00,69.12,0,59,36,47,37.95,69.12,36,47,36,33,14.00,69.12,36,33,0,19,38.63,69.12
4,0,0,0,21,21.00,35.47,0,21,1,27,6.08,35.47,0,21,23,20,23.02,35.47,1,27,22,26,21.02,35.47,0,0,21,0,21.00,35.47
3,0,0,2,33,33.06,42.64,2,33,16,24,16.64,42.64,16,24,27,16,13.60,42.64,27,16,16,8,13.60,42.64,16,8,0,0,17.89,42.64
4,0,0,0,20,20.00,60.88,0,20,2,45,25.08,60.88,0,20,39,22,39.05,60.88,2,45,41,43,39.05,60.88,0,0,21,1,21.02,60.88
9,0,0,0,29,29.00,52.48,0,29,0,45,16.00,52.48,0,45,27,36,28.46,52.48,27,36,27,25,11.00,52.48,27,25,0,14,29.15,52.48
6,7,0,0,6,9.22,20.12,0,6,0,12,6.00,20.12,0,12,7,18,9.22,20.12,7,0,5,8,8.25,20.12,9,8,3,8,6.00,20.12
3,0,0,2,39,39.05,48.60,2,39,17,30,17.49,48.60,17,30,29,20,15.62,48.60,29,20,17,10,15.62,48.60,17,10,0,0,19.72,48.60
3,0,0,1,23,23.02,25.94,1,23,10,18,10.30,25.94,10,18,12,12,6.32,25.94,12,12,10,6,6.32,25.94,10,6,0,0,11.66,25.94
4,0,0,0,8,8.00,22.20,0,8,0,16,8.00,22.20,0,8,13,8,13.00,22.20,0,16,11,18,11.18,22.20,0,0,10,0,10.00,22.20
3,0,0,2,38,38.05,42.49,2,38,17,30,17.00,42.49,17,30,19,19,11.18,42.49,19,19,17,10,9.22,42.49,17,10,0,0,19.72,42.49
4,0,0,0,25,25.00,52.63,0,25,0,41,16.00,52.63,0,25,12,25,12.00,52.63,0,41,33,40,33.02,52.63,0,0,31,0,31.00,52.63
3,0,0,1,25,25.02,33.97,1,25,10,18,11.40,33.97,10,18,23,12,14.32,33.97,23,12,10,6,14.32,33.97,10,6,0,0,11.66,33.97
7,0,0,0,6,6.00,29.15,13,0,13,11,11.00,29.15,0,6,13,11,13.93,29.15,0,6,1,25,19.03,29.15,13,11,15,18,7.28,29.15
7,0,0,0,8,8.00,36.25,15,0,15,8,8.00,36.25,0,8,15,8,15.00,36.25,0,8,2,33,25.08,36.25,15,8,14,27,19.03,36.25
7,0,0,0,14,14.00,42.80,25,0,26,6,6.08,42.80,0,14,26,6,27.20,42.80,0,14,2,34,20.10,42.80,26,6,25,22,16.03,42.80
4,0,0,0,22,22.00,56.04,0,22,2,46,24.08,56.04,0,22,12,21,12.04,56.04,2,46,32,46,30.00,56.04,0,0,20,1,20.02,56.04
4,0,0,0,7,7.00,33.24,0,7,1,23,16.03,33.24,0,7,15,5,15.13,33.24,1,23,23,24,22.02,33.24,0,0,10,2,10.20,33.24
7,0,0,0,20,20.00,42.19,19,0,20,9,9.06,42.19,0,20,20,9,22.83,42.19,0,20,2,36,16.12,42.19,20,9,22,27,18.11,42.19
1,0,0,0,16,16.00,47.17,24,0,25,7,7.07,47.17,0,16,25,7,26.57,47.17,0,16,3,40,24.19,47.17,25,7,3,40,39.66,47.17
3,0,0,1,33,33.02,37.59,1,33,16,24,17.49,37.59,16,24,18,16,8.25,37.59,18,16,16,8,8.25,37.59,16,8,0,0,17.89,37.59
7,0,0,0,17,17.00,32.57,10,0,10,7,7.00,32.57,0,17,10,7,14.14,32.57,0,17,2,31,14.14,32.57,10,7,10,27,20.00,32.57
3,0,0,2,35,35.06,43.60,2,35,24,27,23.41,43.60,24,27,26,18,9.22,43.60,26,18,24,9,9.22,43.60,24,9,0,0,25.63,43.60
4,0,0,0,13,13.00,44.05,0,13,2,33,20.10,44.05,0,13,8,14,8.06,44.05,2,33,25,33,23.00,44.05,0,0,28,-1,28.02,44.05
7,0,0,0,7,7.00,33.11,13,0,14,11,11.05,33.11,0,7,14,11,14.56,33.11,0,7,0,30,23.00,33.11,14,11,13,19,8.06,33.11
7,0,0,0,15,15.00,25.71,6,0,6,19,19.00,25.71,0,15,6,19,7.21,25.71,0,15,1,21,6.08,25.71,6,19,6,25,6.00,25.71
7,0,0,0,6,6.00,39.05,22,0,24,6,6.32,39.05,0,6,24,6,24.00,39.05,0,6,0,30,24.00,39.05,24,6,25,14,8.06,39.05
9,0,0,0,36,36.00,57.01,0,36,2,53,17.12,57.01,2,53,21,39,23.60,57.01,21,39,21,24,15.00,57.01,21,24,0,9,25.81,57.01
4,0,0,0,19,19.00,53.26,0,19,1,39,20.02,53.26,0,19,9,17,9.22,53.26,1,39,25,41,24.08,53.26,0,0,34,1,34.01,53.26
7,0,0,0,9,9.00,39.22,10,0,12,12,12.17,39.22,0,9,12,12,12.37,39.22,0,9,0,17,8.00,39.22,12,12,13,37,25.02,39.22
3,0,0,1,31,31.02,34.89,1,31,14,24,14.76,34.89,14,24,16,16,8.25,34.89,16,16,14,8,8.25,34.89,14,8,0,0,16.12,34.89
4,0,0,0,16,16.00,51.40,0,16,1,39,23.02,51.40,0,16,31,16,31.00,51.40,1,39,11,39,10.00,51.40,0,0,20,-2,20.10,51.40
4,0,0,0,12,12.00,41.87,0,12,1,32,20.02,41.87,0,12,27,11,27.02,41.87,1,32,25,31,24.02,41.87,0,0,26,0,26.00,41.87
7,0,0,0,17,17.00,46.57,10,0,12,22,22.09,46.57,0,17,12,22,13.00,46.57,0,17,0,33,16.00,46.57,12,22,10,45,23.09,46.57
4,0,0,0,23,23.00,44.28,0,23,1,37,14.04,44.28,0,23,13,25,13.15,44.28,1,37,10,38,9.06,44.28,0,0,19,-2,19.10,44.28
6,12,0,0,9,15.00,30.46,0,9,0,18,9.00,30.46,0,18,12,28,15.62,30.46,12,0,10,11,11.18,30.46,12,11,7,11,5.00,30.46
4,0,0,0,15,15.00,40.36,0,15,1,28,13.04,40.36,0,15,27,13,27.07,40.36,1,28,27,29,26.02,40.36,0,0,26,-1,26.02,40.36
1,0,0,0,21,21.00,28.16,8,0,8,20,20.00,28.16,0,21,8,20,8.06,28.16,0,21,7,27,9.22,28.16,8,20,7,27,7.07,28.16
4,0,0,0,20,20.00,36.12,0,20,1,27,7.07,36.12,0,20,14,22,14.14,36.12,1,27,19,27,18.00,36.12,0,0,24,2,24.08,36.12
2,23,0,7,6,17.09,44.42,7,6,0,12,9.22,44.42,0,12,0,25,13.00,44.42,0,25,7,31,9.22,44.42,7,31,23,38,17.46,44.42
7,0,0,0,21,21.00,36.77,14,0,14,14,14.00,36.77,0,21,14,14,15.65,36.77,0,21,1,34,13.04,36.77,14,14,14,24,10.00,36.77
7,0,0,0,19,19.00,37.66,6,0,7,11,11.05,37.66,0,19,7,11,10.63,37.66,0,19,1,37,18.03,37.66,7,11,7,23,12.00,37.66
6,16,0,0,11,19.42,36.24,0,11,0,22,11.00,36.24,0,22,16,32,18.87,36.24,16,0,15,11,11.05,36.24,17,11,11,11,6.00,36.24
2,11,0,1,4,10.77,24.60,1,4,0,8,4.12,24.60,0,8,0,15,7.00,24.60,0,15,1,19,4.12,24.60,1,19,11,22,10.44,24.60
1,0,0,0,17,17.00,42.95,7,0,9,20,20.10,42.95,0,17,9,20,9.49,42.95,0,17,6,42,25.71,42.95,9,20,6,42,22.20,42.95
6,29,0,0,11,31.02,45.34,0,11,0,22,11.00,45.34,0,22,29,34,31.38,45.34,29,0,30,9,9.06,45.34,30,9,26,9,4.00,45.34
2,23,0,17,4,7.21,34.71,17,4,0,8,17.46,34.71,0,8,0,17,9.00,34.71,0,17,17,21,17.46,34.71,17,21,23,26,7.81,34.71
6,45,0,0,17,48.10,68.62,0,17,0,34,17.00,68.62,0,34,45,50,47.76,68.62,45,0,44,7,7.07,68.62,47,7,42,7,5.00,68.62
1,0,0,0,19,19.00,29.12,7,0,8,15,15.03,29.12,0,19,8,15,8.94,29.12,0,19,0,28,9.00,29.12,8,15,0,28,15.26,29.12
4,0,0,0,10,10.00,37.80,0,10,0,30,20.00,37.80,0,10,23,11,23.02,37.80,0,30,16,28,16.12,37.80,0,0,9,2,9.22,37.80
3,0,0,0,33,33.00,36.67,0,33,14,24,16.64,36.67,14,24,16,16,8.25,36.67,16,16,14,8,8.25,36.67,14,8,0,0,16.12,36.67
9,0,0,0,39,39.00,50.96,0,39,0,49,10.00,50.96,0,49,14,38,17.80,50.96,14,38,14,27,11.00,50.96,14,27,0,16,17.80,50.96
4,0,0,0,25,25.00,48.60,0,25,1,36,11.05,48.60,0,25,29,25,29.00,48.60,1,36,7,38,6.32,48.60,0,0,16,-1,16.03,48.60
6,40,0,0,17,43.46,65.30,0,17,0,34,17.00,65.30,0,34,40,50,43.08,65.30,40,0,40,8,8.00,65.30,42,8,36,8,6.00,65.30
3,0,0,2,34,34.06,43.42,2,34,23,24,23.26,43.42,23,24,27,17,8.06,43.42,27,17,23,8,9.85,43.42,23,8,0,0,24.35,43.42
4,0,0,0,19,19.00,32.25,0,19,2,27,8.25,32.25,0,19,16,21,16.12,32.25,2,27,12,26,10.05,32.25,0,0,6,-1,6.08,32.25
